FID,Point_ID,BUFF_DIST,KEEP
353,P354,10000.000000000000000,1
354,P355,10000.000000000000000,1
355,P356,10000.000000000000000,1
356,P357,10000.000000000000000,1
357,P358,10000.000000000000000,1
358,P359,10000.000000000000000,1
359,P360,10000.000000000000000,1
360,P361,10000.000000000000000,1
361,P362,10000.000000000000000,1
362,P363,10000.000000000000000,1
363,P364,10000.000000000000000,1
364,P365,10000.000000000000000,1
365,P366,10000.000000000000000,1
366,P367,10000.000000000000000,1
367,P368,10000.000000000000000,1
368,P369,10000.000000000000000,1
369,P370,10000.000000000000000,1
370,P371,10000.000000000000000,1
371,P372,10000.000000000000000,1
372,P373,10000.000000000000000,1
373,P374,10000.000000000000000,1
374,P375,10000.000000000000000,1
375,P376,10000.000000000000000,1
376,P377,10000.000000000000000,1
377,P378,10000.000000000000000,1
378,P379,10000.000000000000000,1
379,P380,10000.000000000000000,1
380,P381,10000.000000000000000,1
381,P382,10000.000000000000000,1
382,P383,10000.000000000000000,1
383,P384,10000.000000000000000,1
384,P385,10000.000000000000000,1
385,P386,10000.000000000000000,1
386,P387,10000.000000000000000,1
387,P388,10000.000000000000000,1
388,P389,10000.000000000000000,1
389,P390,10000.000000000000000,1
390,P391,10000.000000000000000,1
391,P392,10000.000000000000000,1
392,P393,10000.000000000000000,1
393,P394,10000.000000000000000,1
394,P395,10000.000000000000000,1
395,P396,10000.000000000000000,1
396,P397,10000.000000000000000,1
397,P398,10000.000000000000000,1
398,P399,10000.000000000000000,1
399,P400,10000.000000000000000,1
400,P401,10000.000000000000000,1
401,P402,10000.000000000000000,1
402,P403,10000.000000000000000,1
403,P404,10000.000000000000000,1
404,P405,10000.000000000000000,1
405,P406,10000.000000000000000,1
406,P407,10000.000000000000000,1
407,P408,10000.000000000000000,1
408,P409,10000.000000000000000,1
409,P410,10000.000000000000000,1
410,P411,10000.000000000000000,1
411,P412,10000.000000000000000,1
412,P413,10000.000000000000000,1
413,P414,10000.000000000000000,1
414,P415,10000.000000000000000,1
415,P416,10000.000000000000000,1
416,P417,10000.000000000000000,1
417,P418,10000.000000000000000,1
418,P419,10000.000000000000000,1
419,P420,10000.000000000000000,1
420,P421,10000.000000000000000,1
421,P422,10000.000000000000000,1
422,P423,10000.000000000000000,1
423,P424,10000.000000000000000,1
424,P425,10000.000000000000000,1
425,P426,10000.000000000000000,1
426,P427,10000.000000000000000,1
427,P428,10000.000000000000000,1
428,P429,10000.000000000000000,1
429,P430,10000.000000000000000,1
430,P431,10000.000000000000000,1
431,P432,10000.000000000000000,1
432,P433,10000.000000000000000,1
433,P434,10000.000000000000000,1
434,P435,10000.000000000000000,1
435,P436,10000.000000000000000,1
436,P437,10000.000000000000000,1
437,P438,10000.000000000000000,1
438,P439,10000.000000000000000,1
439,P440,10000.000000000000000,1
440,P441,10000.000000000000000,1
441,P442,10000.000000000000000,1
442,P443,10000.000000000000000,1
443,P444,10000.000000000000000,1
444,P445,10000.000000000000000,1
445,P446,10000.000000000000000,1
446,P447,10000.000000000000000,1
447,P448,10000.000000000000000,1
448,P449,10000.000000000000000,1
449,P450,10000.000000000000000,1
450,P451,10000.000000000000000,1
451,P452,10000.000000000000000,1
452,P453,10000.000000000000000,1
453,P454,10000.000000000000000,1
454,P455,10000.000000000000000,1
455,P456,10000.000000000000000,1
456,P457,10000.000000000000000,1
457,P458,10000.000000000000000,1
458,P459,10000.000000000000000,1
459,P460,10000.000000000000000,1
460,P461,10000.000000000000000,1
461,P462,10000.000000000000000,1
462,P463,10000.000000000000000,1
463,P464,10000.000000000000000,1
464,P465,10000.000000000000000,1
465,P466,10000.000000000000000,1
466,P467,10000.000000000000000,1
467,P468,10000.000000000000000,1
468,P469,10000.000000000000000,1
469,P470,10000.000000000000000,1
470,P471,10000.000000000000000,1
471,P472,10000.000000000000000,1
472,P473,10000.000000000000000,1
473,P474,10000.000000000000000,1
474,P475,10000.000000000000000,1
475,P476,10000.000000000000000,1
476,P477,10000.000000000000000,1
477,P478,10000.000000000000000,1
478,P479,10000.000000000000000,1
479,P480,10000.000000000000000,1
480,P481,10000.000000000000000,1
481,P482,10000.000000000000000,1
482,P483,10000.000000000000000,1
483,P484,10000.000000000000000,1
484,P485,10000.000000000000000,1
485,P486,10000.000000000000000,1
486,P487,10000.000000000000000,1
487,P488,10000.000000000000000,1
488,P489,10000.000000000000000,1
489,P490,10000.000000000000000,1
490,P491,10000.000000000000000,1
491,P492,10000.000000000000000,1
492,P493,10000.000000000000000,1
493,P494,10000.000000000000000,1
494,P495,10000.000000000000000,1
495,P496,10000.000000000000000,1
496,P497,10000.000000000000000,1
497,P498,10000.000000000000000,1
498,P499,10000.000000000000000,1
499,P500,10000.000000000000000,1
500,P501,10000.000000000000000,1
501,P502,10000.000000000000000,1
502,P503,10000.000000000000000,1
503,P504,10000.000000000000000,1
504,P505,10000.000000000000000,1
505,P506,10000.000000000000000,1
506,P507,10000.000000000000000,1
507,P508,10000.000000000000000,1
508,P509,10000.000000000000000,1
509,P510,10000.000000000000000,1
510,P511,10000.000000000000000,1
511,P512,10000.000000000000000,1
512,P513,10000.000000000000000,1
513,P514,10000.000000000000000,1
514,P515,10000.000000000000000,1
515,P516,10000.000000000000000,1
516,P517,10000.000000000000000,1
517,P518,10000.000000000000000,1
518,P519,10000.000000000000000,1
519,P520,10000.000000000000000,1
520,P521,10000.000000000000000,1
521,P522,10000.000000000000000,1
522,P523,10000.000000000000000,1
523,P524,10000.000000000000000,1
524,P525,10000.000000000000000,1
525,P526,10000.000000000000000,1
526,P527,10000.000000000000000,1
527,P528,10000.000000000000000,1
528,P529,10000.000000000000000,1
529,P530,10000.000000000000000,1
530,P531,10000.000000000000000,1
531,P532,10000.000000000000000,1
532,P533,10000.000000000000000,1
533,P534,10000.000000000000000,1
534,P535,10000.000000000000000,1
535,P536,10000.000000000000000,1
536,P537,10000.000000000000000,1
537,P538,10000.000000000000000,1
538,P539,10000.000000000000000,1
539,P540,10000.000000000000000,1
540,P541,10000.000000000000000,1
541,P542,10000.000000000000000,1
542,P543,10000.000000000000000,1
543,P544,10000.000000000000000,1
544,P545,10000.000000000000000,1
545,P546,10000.000000000000000,1
546,P547,10000.000000000000000,1
547,P548,10000.000000000000000,1
548,P549,10000.000000000000000,1
549,P550,10000.000000000000000,1
550,P551,10000.000000000000000,1
551,P552,10000.000000000000000,1
552,P553,10000.000000000000000,1
553,P554,10000.000000000000000,1
554,P555,10000.000000000000000,1
555,P556,10000.000000000000000,1
556,P557,10000.000000000000000,1
557,P558,10000.000000000000000,1
558,P559,10000.000000000000000,1
559,P560,10000.000000000000000,1
560,P561,10000.000000000000000,1
561,P562,10000.000000000000000,1
562,P563,10000.000000000000000,1
563,P564,10000.000000000000000,1
564,P565,10000.000000000000000,1
565,P566,10000.000000000000000,1
566,P567,10000.000000000000000,1
567,P568,10000.000000000000000,1
568,P569,10000.000000000000000,1
569,P570,10000.000000000000000,1
570,P571,10000.000000000000000,1
571,P572,10000.000000000000000,1
572,P573,10000.000000000000000,1
573,P574,10000.000000000000000,1
574,P575,10000.000000000000000,1
575,P576,10000.000000000000000,1
576,P577,10000.000000000000000,1
577,P578,10000.000000000000000,1
578,P579,10000.000000000000000,1
579,P580,10000.000000000000000,1
580,P581,10000.000000000000000,1
581,P582,10000.000000000000000,1
582,P583,10000.000000000000000,1
583,P584,10000.000000000000000,1
584,P585,10000.000000000000000,1
585,P586,10000.000000000000000,1
586,P587,10000.000000000000000,1
587,P588,10000.000000000000000,1
588,P589,10000.000000000000000,1
589,P590,10000.000000000000000,1
590,P591,10000.000000000000000,1
591,P592,10000.000000000000000,1
592,P593,10000.000000000000000,1
593,P594,10000.000000000000000,1
594,P595,10000.000000000000000,1
595,P596,10000.000000000000000,1
596,P597,10000.000000000000000,1
597,P598,10000.000000000000000,1
598,P599,10000.000000000000000,1
599,P600,10000.000000000000000,1
600,P601,10000.000000000000000,1
601,P602,10000.000000000000000,1
602,P603,10000.000000000000000,1
603,P604,10000.000000000000000,1
604,P605,10000.000000000000000,1
605,P606,10000.000000000000000,1
606,P607,10000.000000000000000,1
607,P608,10000.000000000000000,1
608,P609,10000.000000000000000,1
609,P610,10000.000000000000000,1
610,P611,10000.000000000000000,1
611,P612,10000.000000000000000,1
612,P613,10000.000000000000000,1
613,P614,10000.000000000000000,1
614,P615,10000.000000000000000,1
615,P616,10000.000000000000000,1
616,P617,10000.000000000000000,1
617,P618,10000.000000000000000,1
618,P619,10000.000000000000000,1
619,P620,10000.000000000000000,1
620,P621,10000.000000000000000,1
621,P622,10000.000000000000000,1
622,P623,10000.000000000000000,1
623,P624,10000.000000000000000,1
624,P625,10000.000000000000000,1
625,P626,10000.000000000000000,1
626,P627,10000.000000000000000,1
627,P628,10000.000000000000000,1
628,P629,10000.000000000000000,1
629,P630,10000.000000000000000,1
630,P631,10000.000000000000000,1
631,P632,10000.000000000000000,1
632,P633,10000.000000000000000,1
633,P634,10000.000000000000000,1
634,P635,10000.000000000000000,1
635,P636,10000.000000000000000,1
636,P637,10000.000000000000000,1
637,P638,10000.000000000000000,1
638,P639,10000.000000000000000,1
639,P640,10000.000000000000000,1
640,P641,10000.000000000000000,1
641,P642,10000.000000000000000,1
642,P643,10000.000000000000000,1
643,P644,10000.000000000000000,1
644,P645,10000.000000000000000,1
645,P646,10000.000000000000000,1
646,P647,10000.000000000000000,1
647,P648,10000.000000000000000,1
648,P649,10000.000000000000000,1
649,P650,10000.000000000000000,1
650,P651,10000.000000000000000,1
651,P652,10000.000000000000000,1
652,P653,10000.000000000000000,1
653,P654,10000.000000000000000,1
654,P655,10000.000000000000000,1
655,P656,10000.000000000000000,1
656,P657,10000.000000000000000,1
657,P658,10000.000000000000000,1
658,P659,10000.000000000000000,1
659,P660,10000.000000000000000,1
660,P661,10000.000000000000000,1
661,P662,10000.000000000000000,1
662,P663,10000.000000000000000,1
663,P664,10000.000000000000000,1
664,P665,10000.000000000000000,1
